,TAP,LINES
676,1035,150119 60108 31112 202106 41111 105204 101203 41108 30211 50211 101103 41208 150219 50111 30111 41211 31212 60208 105104 204101 201103
677,1037,204101
678,1038,237201 921217 150119 41111 237203 237103 101203 41108 30211 101103 41208 101202 237101 30111 41211 150219 921117 101102
679,1039,30211 30111
680,1040,202106 201103
681,1041,237201 150119 41111 237203 237103 101203 41108 30211 101103 41208 921217 237101 30111 41211 150219 921117 101102
682,1042,30211 30111
683,1043,30211 30111
684,1047,202106 201103
685,1048,30211 30111
686,1049,204101
687,1050,101202 202106 201103
688,1052,704207 704107
689,1053,202106 201103
690,1054,963203 962104 963103 962204
691,1058,204101
692,1059,3201 120216 120212
693,1062,204101
694,1063,832103
695,1064,832103
696,1065,41111 105204 105104 41108 50211 41208 50111 41211
697,1067,388208 388108
698,1068,150219 150119 150120 150220
699,1070,323203 323103 323102 323202
700,1072,832103
701,1074,202106 201103
702,1076,848203 848103
703,1077,41111 105204 105104 41108 50211 41208 50111 41211
704,1078,392104 392204
705,1081,30211 30111
706,1086,30211 27211 30111 8206 27111
707,1089,832103
708,1090,832103
709,1093,30211 30111
710,1094,8206 8106 9209 27211 27111 9109
711,1095,923204 30211 30111 288101 290101
712,1096,848203 848103
713,1097,41111 105204 105104 41108 50211 41208 50111 41211
714,1100,848203 848103
715,1101,864104 864204
716,1102,832103
717,1103,832103
718,1107,864104 864204
719,1108,105104 105204
720,1110,105104 105204
721,1114,832103
722,1115,834105
723,1116,848203 848103
724,1117,41111 41108 50211 41208 50111 41211
725,1119,30211 30111
726,1121,834105
727,1122,864104 864204
728,1123,834105
729,1125,101202 101203 101102 101103
730,1126,105104 105204
731,1127,832103
732,1128,30211 30111
733,1129,864104 864204
734,1132,41111 41108 50211 41208 50111 41211
735,1133,848203 848103
736,1134,834105
737,1135,864104 864204
738,1137,101202 101102
739,1138,834105
740,1139,832103
741,1140,864104 864204
742,1141,834105
743,1142,8106 8206
744,1143,833203 870105 833205 870205 834105 833103 833105 832103
745,1144,834105
746,1145,530113 530213
747,1147,834105
748,1150,445207 445107
749,1151,30211 30111
750,1155,864104 864204
751,1156,864104 864204
752,1157,41111 41108 50211 41208 50111 41211
753,1159,870205 870105
754,1160,870205 870105 834105
755,1162,870205 870105 20220 20120
756,1163,848203 848103
757,1164,833203 833105 833103 833205 832103
758,1165,833203 833105 833103 833205 832103
759,1167,834105
760,1169,864104 864204
761,1170,834105
762,1171,864104 864204
763,1172,44206 41111 41108 50211 41208 50111 41211 44106
764,1173,44106 44206
765,1175,44106 44206
766,1176,834105
767,1177,6210 6110
768,1178,44106 50111 44206 50211
769,1179,864104 864204
770,1181,2114 2214
771,1182,834105
772,1183,834105
773,1184,30211 30111
774,1185,27211 27111
775,1186,60108 44206 60208 27211 27111 44106
776,1187,35104 35204
777,1188,44106 60108 44206 60208
778,1190,864104 864204
779,1191,25212 235201 235101 25112
780,1192,25212 25112
781,1193,105104 105204
782,1194,120216 25112 870105 20120 928204 120116 235201 235101 870205 20220 20214 20114 27211 928104 27111 25212
783,1195,928104 870105 20120 235201 235101 870205 20220 928204 25112 25212
784,1196,928104 870105 20120 235201 235101 870205 20220 928204 25112 25212
785,1197,834105
786,1199,335103 334107
787,1201,864106 864104 864204 864206
788,1202,834105
789,1204,870105 20120 120116 870205 20220 20114 27211
790,1205,833105 833103 833205 833203
791,1206,848203 848103
792,1207,834105
793,1208,105104 105204
794,1210,204101
795,1211,25212 25112
796,1212,30211 30111
797,1214,44206 105204 105104 50211 50111 44106
798,1216,353207 353107
799,1218,41108 41111 41211 41208
800,1219,25212 25112
801,1222,150219 11210 30211 50211 11217
802,1223,530113 530213
803,1224,120216 870105 20120 120116 870205 20220 20214 20114
804,1225,928104 928204
805,1231,833105 833103 833205 833203
806,1232,833105 833103 833205 833203
807,1234,41108 41111 41211 41208
808,1235,25212 25112
809,1238,60208 235101
810,1242,50111 105104 50211 105204
811,1243,833105 833103 833205 833203
812,1244,60108 870105 928104 870205 928204 60208
813,1246,864106 864104 864204 864206
814,1247,60108 44206 60208 27211 27111 44106
815,1248,60108 60208 120116 120216
816,1249,60108 120216 870105 20120 120116 870205 20220 20214 60208 20114
817,1250,60108 60208 870205 870105
818,1252,25212 25112
819,1253,27211 27111
820,1254,27211 27111
821,1255,41111 41211 41108 41208 27211 27111
822,1256,848203 848103
823,1257,870205 870105
824,1259,50111 105104 50211 105204
825,1261,353207 353107
826,1262,833105 833103 833205 833203
827,1265,44106 44206
828,1266,928104 870205 870105 928204
829,1267,30211 30111
830,1268,864106 864104 864204 864206
831,1270,25212 25112
832,1273,833105 833103 833205 833203
833,1274,41108 41208
834,1276,371207 371107
835,1277,44106 120116 44206 120216
836,1278,30211 30111
837,1279,928104 870205 870105 928204
838,1280,105204 105104 50211 50111 27211 27111
839,1281,848203 848103
840,1285,864106 864104 864204 864206
841,1288,120116 25212 120216 25112
842,1289,25212 928104 25112 928204
843,1290,25212 25112
844,1291,347110 347210
845,1293,25212 25112
846,1294,353207 353107
847,1295,30111
848,1297,30211 30111
849,1298,928104 870105 870205 928204 870215 25112 870115 25212
850,1299,27211 27111
851,1300,25212 928104 25112 928204
852,1301,44106 44206
853,1302,44106 44206
854,1303,870205 870105
855,1305,27211 27111
856,1306,115108 115208 870105 870205
857,1307,833203 874105 833205 871102 875105 833103 833105 848203 872103 848103
858,1308,872103 848103 874105 848203 871102 875105
859,1309,848203 848103 875105 874105
860,1310,848203 848103 875105 874105
861,1311,864106 864104 874105 864204 848103 864206 848203 875105
862,1313,864106 864104 864206 864204 874105 815101 875105
863,1316,864106 864104 874105 815201 864204 864206 815101 875105
864,1319,50111 105104 50211 105204
865,1322,41108 41208
866,1325,833203 874105 833205 871102 875105 833103 833105 848203 872103 848103
867,1326,44106 44206 44105
868,1327,928104 928204
869,1328,120116 25212 120216 25112
870,1329,25212 928104 25112 928204
871,1333,60208 235101
872,1334,833203 833103 875105 874105
873,1335,50111 105104 50211 105204
874,1336,530113 530213
875,1337,115108 115208
876,1338,1111 120116 1115 3101 120112
877,1339,115108 115208 870105 870205
878,1340,120212 120216 1111 3201 1211 1215 1115
879,1342,928104 928204
880,1343,928104 928204
881,1344,815101 874105 875105 815201
882,1346,202106 201103
883,1348,115108 854207 115208 854107
884,1351,928104 928204
885,1352,27211 27111
886,1353,44106 44205 44206 44105
887,1355,115108 115208
888,1356,35104 35204
889,1357,115108 115208
890,1358,115108 115208
891,1359,9109 27211 9209 27111
892,1363,30211 30111
893,1364,864106 864104 864204 864206
894,1365,864106 864104 872103 864204 871102 864206
895,1366,44106 44205 44206 44105
896,1367,9109 27211 9209 27111
897,1368,833203 874105 833205 864106 864104 864206 864204 875105 833103 833105 848203 872103 871102 848103
898,1369,864106 864104 864204 864206
899,1370,864106 864104 864204 864206
900,1371,864106 864104 815201 864204 864206 815101
901,1372,115108 854207 115208 854107
902,1374,875105 874105
903,1375,30211 30111 9209 9109
904,1376,347110 347210
905,1379,50111 105104 50211 105204
906,1380,30211 30111
907,1381,10104 3201 83202 83102
908,1382,115108 115208
909,1383,14206 14106
910,1384,30211 30111 8206 8106
911,1386,30211 30111
912,1388,115108 115208
913,1389,115108 854207 115208 854107
914,1390,875105 874105
915,1392,120116 25212 120216 25112
916,1393,50111 105104 50211 105204
917,1394,9109 9209
918,1395,115108 115208
919,1397,815101 816202 816102 815201
920,1398,25212 41108 25112 41208
921,1399,833203 816202 870105 115108 833103 115208 815101 872103 871102 875105 864106 848103 816102 833205 864206 864204 833105 864104 870205 815201 874105 848203
922,1400,833203 874105 816202 833205 864106 864104 864206 864204 815201 875105 833103 848103 848203 815101 833105 872103 871102 816102
923,1402,816202 871102 815201 872103 815101 816102
924,1403,815101 816202 816102 815201
925,1404,815101 816202 816102 815201
926,1405,815101 816202 816102 815201
927,1406,115108 14206 14106 115208
928,1408,816202 871102 815201 872103 815101 816102
929,1409,14206 13109 14106 13209
930,1410,14206 14106
931,1411,14206 14106
932,1412,115108 854207 115208 854107
933,1413,8106 8206
934,1414,44205 120216 25112 120116 41108 41208 44206 44105 44106 25212
935,1416,875105 874105
936,1417,875105 816202 816102 874105
937,1418,50111 50211
938,1419,520112 530113 520212 530213
939,1420,351106 352108
940,1423,833203 816202 870105 870215 115108 833103 115208 815101 870115 871102 875105 874105 864106 848103 816102 833205 872103 864204 833105 864104 870205 815201 864206 848203
941,1424,928104 928204
942,1425,13109 13209
943,1426,9109 9209
944,1427,25212 25112
945,1428,14206 14106
946,1429,854207 854107
947,1430,105104 105204
